Nr,Name,Definition,Elaboration,Instructions
1,Structured Statement,"Need statements and requirement statements must conform to one of the agreed patterns, thus resulting in a well-structured complete statement.",,"Identify the most commonly used pattern in the requirements and respond if the requirement follows that structure. The needs statement must have a the subject, the action and the reason in it. 
Yes is a pass and 
No is a fail / rewrite."
2,Active Moment,Use the active voice in the need statement or requirement statement with the responsible entity clearly identified as the subject of the sentence.,,Identify if it is clear who performs the action.
3, Appropriate Subject-Verb,Ensure the subject and verb of the need or requirement statement are appropriate to the entity to which the statement refers.,,
4,Defined Terms,Define all terms used within the need statement and requirement statement within an associated glossary and/or data dictionary,,
5,Definite Articles,Use the definite article “the” rather than the indefinite article “a”,,"Flag when ""a"" is used"
6,Common Units of Measure,"When stating quantities, all numbers should have appropriate and consistent units of measure explicitly stated using a common measurement system in terms of the thing the number refers.",,"Flag when inappropriate or inconsistent units of measure are used. 
Imperal units are to be considered inappropriate."
7,Vague Terms,Avoid the use of vague terms.,"Vague terms can lead to ambiguous, unverifiable needs and requirements where the true intent is not being communicated.
Avoid words that provide vague quantification, such as “some”, “any”, “allowable”, “several”,“many”, “a lot of”, “a few”, “almost always”, “very nearly”, “nearly”, “about”, “close to”, “almost” and “approximate”,
Avoid vague adjectives such as “ancillary”, ""relevant”, “routine”, “common”, “generic”, “significant”, “flexible”, “expandable”, “typical”, “sufficient”, “adequate”, “appropriate”, “efficient”, “effective”, “proficient”, “reasonable” and “customary.”
Adverbs qualify actions in some way and are particularly troublesome if vague. Avoid vague adverbs, such as “usually”, “approximately”, “sufficiently”, and “typically”, which can lead to ambiguous, unverifiable requirements that do not reflect accurately the stakeholder expectations.
As a general rule, words that end in “-ly” often result in ambiguity.",Non-compliance is an immediate red flag for the entire requirement
8,Escape Clauses,"Avoid the inclusion of escape clauses that state vague conditions or possibilities, such as “so far as is possible”, “as little as possible”, “where possible”, “as much as possible”, “if it should prove necessary”, “if necessary”, “to the extent necessary”, “as appropriate”, “as required”, “to the extent practical”, and “if practicable”.",,Non-compliance is an immediate red flag for the entire requirement
9,Open-Ended Clauses,"Avoid open-ended, non-specific clauses such as “including but not limited to”, “etc.” and “and so 
on”.","Open-ended clauses imply there is more required without stating exactly what. Open-ended clauses can lead to ambiguous, unverifiable needs and requirements that do not reflect accurately the stakeholder’s expectations and needs and can create ambiguity in the mind of the reader. Needs or requirements with open-ended clauses are not Complete (C4). Use of open-ended clauses also violates the one-thought rule (R18) that leads to the singular characteristic. If more cases are required, then include additional needs and requirements that explicitly state those cases. Depending on the contract type (fixed price versus level of effort or cost plus) open-ended requirements can lead to serious interpretation problems concerning what is in or out of scope of the contract; possibly resulting in expensive contract changes. For level of effort or cost-plus
contracts, open-ended requirements can be used by the supplier to do and bill the customer for additional work not intended by the customer leading to budget overruns and expensive contract changes.",Non-compliance is an immediate red flag for the entire requirement
10,Superfluous Infinitives,"Avoid the use of superfluous infinitives such as “to be designed to”, “to be able to”, “to be capable of”, “to enable”, “to allow”.","An infinitive is a verbal consisting of the word “to” + “a verb”.
Use of infinitives within requirement statements:
When writing a requirement statement, using more verbs than necessary to describe a single action (verb), such as “The <SOI> shall be designed to be able to <do an action> ...” or “The <SOI> shall be designed to be capable of <action>...” rather than simply “The <SOI> shall <action>...”.
By forcing conformance with one of the agreed structured statements (See R1), the use of such superfluous infinitives is avoided.
Note that at the enterprise and business levels, requirements for an entity to “provide a capability” are acceptable. Where capability is made up of people, processes, and products; these requirements will be decomposed to address the people aspects (skill set, training, roles, etc.), processes (procedures, work instructions, etc.); and products (hardware and software systems). 
The enterprise and business level higher-level requirements will be allocated appropriately to the people, processes, and products (SOI), as appropriate.
When the resulting requirement sets are defined for all three areas, the capability will be communicated by a set of requirements for each (people, process, product) that will result in the needed capability to be provided.",
11,Separate Clauses,Use a separate clause for each condition or qualification.,"Each need or requirement should have a main verb describing a basic function or need. If appropriate, the main sentence may then be supplemented by clauses that provide conditions or qualifications (performance values, trigger, or constraints). A single, clearly identifiable clause should be used for each condition or qualification expressed.
As mentioned in R1 and Appendix C, a need and requirement should match one, and only one, pattern from the catalog of agreed patterns.
If an applicable qualifying clause or condition is not stated explicitly within the need or requirement statement, the need or requirement statement is not Complete (C4), 
Verifiable/Validatable (C7), nor Correct (C8).
If a qualifying clause is not stated explicitly within the need or requirement statement, the need or requirement statement is not Complete (C4)), Verifiable/Validatable (C7), nor Correct (C8)—for example, performance associated with the action verb or for an interface requirement where a pointer to where the specific interaction is defined (such as in the ICD).
When using clauses, make sure the clause does not separate the object of the sentence from the verb. See also R1, R18, R27 and Appendix C.",Are separate clauses for each condition used?
12,Correct Grammer,Use correct grammar.,,"Is correct grammer used? With 1 or more grammer mistakes the reponse should be to ""review"""" (orange)"
13,Correct Spelling,Use correct spelling.,,"Is correct spelling used? With 1 or more spelling mistakes the reponse should be to ""review"""" (orange)"
14,Correct Punctuation,Use correct punctuation,"Incorrect punctuation can cause confusion between sub-clauses in a need or requirement statement.
A need or requirement statement with incorrect punctuation is not Correct (C8)
Note also that the more punctuation in a need or requirement statement, the greater the opportunity for ambiguity.
Many word processing applications are capable of applying a set of punctuation rules as text is entered based on a set of built-in rules that are selectable. When using an application specific set of punctuation rules, project-specific punctuation items may be flagged as incorrect as they may not be applicable to the project’s use of punctuation. Therefore, the application punctuation checking can be regarded as a project-specific aspect. Many applications allow the user to “turn off” or “ignore” punctuation rules that do not apply to the project","Is correct punctuation used? With 1 or more punctuation mistakes the reponse should be to ""review"""" (orange)"
15,Logical Expressions,"Use a defined convention to express logical expressions such as “[X AND Y]”, “[X OR Y]”, [X XOR Y]”, “NOT [X OR Y]”.","As with the other rules and characteristics, we want to keep requirement statements as one thought with singular statements. Thus, we avoid using “and” when it involves tying two thoughts together. However, it is acceptable to use “AND”, “OR”, “XOR”, and “NOT” in a logical sense when talking about conditions to which the verb applies. All logical expressions decompose to either “true” or “false”, resulting in a singular statement.
Examples of conventions:
1. Place conjunctions in italics or in all capitals (AND, OR, XOR, NOT) to indicate that the author intends the conjunction to play a role in a condition.
2. Place conditions within square brackets, also using the brackets to control their scope.
For example, “[X AND Y].”
Further, use of “and/or” is non-specific and therefore ambiguous. The most common interpretation of the expression “and/or” is as an inclusive OR: either X OR Y OR both. 
• If an inclusive OR is intended, that should be written as “at least one of <the two or more requirements>”. 
• If an Exclusive OR is intended, that should be written as “Either <Requirement 1> OR <Requirement 2> but NOT both”, and similar wording.
Note that caution should be used when including logical expressions in requirement statements. 
In many cases the use of logical expressions is more appropriate to design output specifications/requirements. Design Input Requirements should focus on why the logical actions 
are needed - prevent something bad from happening, for example, The use of logical expressions within requirement statements is appropriate when stating “under what conditions” apply to a need or requirement. For example, an action that must take place based on whether at logical condition is true or false.",
16,"Use of ""Not""",Avoid the use of the word “not”.,"The presence of the word “not” in a need statement or requirement statement implies “not ever”,  which is impossible to verify in a finite time, in which case, the need statement or requirement 
statement is not correct (C8).
In theory, there is a large number of actions the system should not do. Such statements should be re-written in the positive—that is, referring to what the entity is to do, rather than what it is not to do.
Rewriting the need statement or requirement statement to avoid the use of “not” results in a need or statement requirement statement that is clearer and is verifiable/validatable (C7)","Flag when the word ""not"" is used"
17,Use of the oblique (“/”) symbol,Avoid the use of the oblique (“/”) symbol.,"The oblique symbol (“/”), or “slash”, has so many possible meanings that it should be avoided. 
The slash symbol (such as in “user/operator”, “budget/schedule” or the construct “and/or” (discussed in R15) can lead to ambiguous statements that do not reflect accurately the true 
stakeholder needs or lifecycle concepts from which the needs in the Integrated Set of Needs were derived. ","If the oblique (""/"") symbol is used response should to ""review"" (orange)"
18,Single Thought Sentence,Write a single sentence that contains a single thought conditioned and qualified by relevant subclauses.,"Need statements and requirement statements (based on the concepts of allocation, traceability, validation, and verification) must contain a single thought allowing:
• needs to be traced to their source;
• the single thought within a requirement statement to be allocated;
• the resulting single-thought child requirements to trace to their allocated parent,
• requirements to trace to a single-thought source;
• design and system validation and design and system verification against the single-thought need or requirement.
Sometimes a need statement or requirement statement is only applicable under a specific trigger,  condition, or multiple conditions as discussed in Section 1.11. 
If multiple actions are needed for a single condition, each action should be repeated in the text of a separate need statement or requirement statement along with the triggering condition, rather than stating the condition and then listing the multiple actions to be taken. Using this convention, the system can be verified to perform each action, and each action can be separately allocated to the entities at the next level of the architecture.
Also avoid stating the condition or trigger for an action in a separate sentence. Instead write a simple affirmative declarative sentence with a single subject, a single main action verb and a single object, framed and qualified by one or more sub-clauses.
Avoid compound sentences containing more than one subject/verb/object sequence. This constraint is enforced in the catalog of agreed patterns (see R1 and Appendix C).
Often when there are multiple sentences for one requirement, the writer is using the second sentence to communicate the conditions for use or rationale for the requirement for the first  sentence. This practice is not acceptable—rather include rationale in the attribute A1 - Rationale as part of the requirement expression and include the condition of use within the need statement or requirement statement or an attribute within the need or requirement expression.
See also R1, R11, R27, and R28.",
19,Combinators,"Avoid words that join or combine clauses, such as “and”, “or”, “then”, “unless”, “but”, “as well as”, “but also”, “however”, “whether”, “meanwhile”, “whereas”, “on the other hand”, or “otherwise”.","The presence of such combinators in a statement usually indicates that multiple thoughts are  contained within the statement violating rule R18. 
To address these instances, either a logical expression is warranted (rule R15) or the statement  must be broken into separate need or requirement statements, each containing a single thought.",
20,Purpose Phrases,"Avoid phrases that indicate the “purpose of “, “intent of”, or “reason for” the need statement or requirement statement.","Need statements and requirement statements should be as concise as possible and be Complete (C4). In an attempt to avoid ambiguity or communicate why the need or requirement is Necessary (C1), some writers include additional information to make the purpose, intent, and reason clearer by including additional text within the need statement or requirement statement or include an additional sentence of explanation immediately following the need statement or requirement statement. 
The text of a need statement or requirement statement should not include this extra text, nor should an additional sentence be included as part of the need or requirement statements.
Expressions of purpose or intent are often indicated by the presence of phrases such as “……to”, “in order to”, “so that”, and “thus allowing.”
This rule does not mean to imply that the additional information with regard to purpose is superfluous and should not be included at all. On the contrary, this extra information is useful to readers of a statement, but it should not be included in the statement; rather it should be included separately in the need expression or requirement expression using the Rationale attribute (A1) as discussed in the NRM.",
21,Parenthesis,Avoid parentheses and brackets containing subordinate text.,"If the text of a need statement or requirement statement contains parentheses or brackets, it usually indicates the presence of superfluous information that can simply be removed or can be communicated in the rationale. Other times, brackets introduce ambiguity.
If the information in the parentheses or brackets aids in the understanding of the intent of the requirement, then that information should be included in the Rationale Attribute (A1) defined in the NRM.
Conventions for the use of parentheses or brackets may be agreed upon for specific purposes.
Such conventions should be documented in the project’s requirements and work instructions concerning defining needs and requirements.",
